Specimen,ScanSite,Volume,MEAN_BMC,Reference
8402,HU3,35.357,16.91,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8402,HU4,41.25,21.09,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8402,HU5,77.457,30.92,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,HU1,100.54,24.53,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,HU2,50.063,12.27,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,HU3,27.203,11.35,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,HU4,25.146,13.16,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,HU5,59.245,23.27,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8222,HU1,107.531,23.56,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8222,HU2,64.808,11.95,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8222,HU3,29.489,12.39,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8222,HU4,28.289,12.76,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8222,HU5,68.859,24.26,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,TI1,35.408,18.02,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,TI2,25.102,11,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,TI3,14.002,9.79,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,TI4,19.202,8.53,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,TI5,27.87,10.38,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8402,TI1,67.399,32.66,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8402,TI2,24.536,15.87,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8402,TI3,20.142,15.37,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8402,TI4,26.924,11.79,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8402,TI5,41.929,18.48,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8530,TI1,83.439,35.95,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8530,TI2,28.042,17.06,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8530,TI3,20.955,15.79,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8530,TI4,27.94,13.93,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8530,TI5,50.521,21.94,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
W500,TI1,94.926,31.97,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
W500,TI2,28.042,15.96,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
W500,TI3,19.52,15.62,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
W500,TI4,30.201,13.07,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
W500,TI5,47.422,21.41,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,TI1,73.26,33.38,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,TI2,26.34,17.2,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,TI3,19.812,15.82,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,TI4,27.775,13.55,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,TI5,43.732,20.02,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,TI1,63.437,22.41,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,TI2,20.231,11.46,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,TI3,14.021,10.97,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,TI4,24.13,9.75,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8501,TI5,37.389,15.53,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8222,TI1,69.774,23.14,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8222,TI2,21.463,10.93,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8222,TI3,15.145,9.99,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8222,TI4,24.289,9.16,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
